timestamp_perf_counter,latency_ms
957.365437886,14
958.246758398,21
959.140319425,17
959.996059758,14
960.8353464,16
961.766720215,11
962.630265981,11
963.505324189,17
964.400301413,13
965.370250531,14
966.335287797,18
967.277390851,14
968.210738264,16
969.105277444,15
971.520277848,13
972.445271111,14
973.350784874,9
974.365415215,7
975.201358196,6
976.186722564,12
977.081395143,11
978.016089992,12
978.927998207,13
979.812938379,14
980.728044941,13
981.682938351,10
982.600025177,11
983.613396724,8
985.457926239,10
986.468015919,8
987.387939166,9
988.353381307,9
989.294705883,12
991.238785075,8
992.29468923,8
993.228196494,6
994.269372167,12
995.26798029,14
996.337884305,10
997.349342831,12
998.369325919,11
999.362924168,14
1000.340028532,9
1001.292903922,11
1002.227884596,10
1003.207891419,12
1004.177907948,11
1005.194710032,11
1006.101347711,14
1007.009335998,12
1007.960158098,9
1008.862887412,11
1009.737930809,12
1010.722910729,10
1011.734661967,10
1012.659979198,8
1013.557906338,14
1014.467860271,8
1015.433351539,12
1016.398632351,6
1017.498643742,12
1018.457853941,10
1019.512887176,15
1020.447868081,14
1021.537869043,11
1022.512866492,12
1023.558652329,13
1024.537895244,12
1025.577908676,10
1026.60285198,16
1027.657840203,14
1028.642854793,11
1029.694621072,13
1030.727879578,16
1031.862874517,13
1032.952900413,13
1033.987919251,12
1034.998701206,9
1036.052921444,12
1037.052932802,11
1038.1067171,13
1039.027977761,9
1039.969421923,9
1040.994771999,6
1041.973431928,12
1043.048090538,15
1044.041437991,11
1045.112975199,15
1046.149475832,13
1047.180127189,12
1048.633053038,18
1049.650827162,13
1050.690753683,10
1051.705745191,13
1052.770896941,12
1053.805781685,12
1054.8628672,13
1055.81577274,12
1056.844217299,13
