record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms,frames_folder
956.417462289,1,0.729666,1.90049,1.627278,0.004157,0.262702,3.858338,run_tableB_20250811_162552/frames/trial_0001_20250811_162558
957.361967084,2,1.5645,1.804611,1.632789,0.003697,0.165139,3.306103,run_tableB_20250811_162552/frames/trial_0002_20250811_162559
958.24213046,3,0.114535,1.679976,1.544733,0.003517,0.127959,3.409757,run_tableB_20250811_162552/frames/trial_0003_20250811_162600
959.136350381,4,1.688812,1.568348,1.346101,0.003878,0.215263,3.15472,run_tableB_20250811_162552/frames/trial_0004_20250811_162601
959.992180753,5,1.917351,1.840478,1.67644,0.004298,0.156423,3.936854,run_tableB_20250811_162552/frames/trial_0005_20250811_162602
960.829851398,6,0.704049,1.893496,1.672011,0.002976,0.215834,3.326762,run_tableB_20250811_162552/frames/trial_0006_20250811_162603
961.762155095,7,0.297527,1.835327,1.66062,0.003898,0.164858,3.141795,run_tableB_20250811_162552/frames/trial_0007_20250811_162604
962.625797442,8,1.120177,1.747494,1.525037,0.003376,0.214973,3.477444,run_tableB_20250811_162552/frames/trial_0008_20250811_162604
963.498747861,9,1.671291,1.774864,1.608163,0.004177,0.159108,3.993661,run_tableB_20250811_162552/frames/trial_0009_20250811_162605
964.395125748,10,1.300346,1.923132,1.701306,0.004007,0.215234,3.840123,run_tableB_20250811_162552/frames/trial_0010_20250811_162606
965.365454087,11,0.686446,1.59635,1.377299,0.004058,0.210755,3.760795,run_tableB_20250811_162552/frames/trial_0011_20250811_162607
966.328370099,12,1.372621,1.69249,1.435678,0.003767,0.247324,4.205017,run_tableB_20250811_162552/frames/trial_0012_20250811_162608
967.273744291,13,1.497134,1.729419,1.585118,0.003447,0.138138,3.368009,run_tableB_20250811_162552/frames/trial_0013_20250811_162609
968.205853145,14,0.457486,1.942017,1.692901,0.004408,0.239499,3.407122,run_tableB_20250811_162552/frames/trial_0014_20250811_162610
969.098758905,15,0.323096,2.012109,1.742624,0.00537,0.259726,3.376624,run_tableB_20250811_162552/frames/trial_0015_20250811_162611
971.513793873,16,1.994637,0.894906,0.569287,0.012543,0.304901,4.88504,run_tableB_20250811_162552/frames/trial_0016_20250811_162613
972.437395449,17,1.603393,1.770315,1.602221,0.006202,0.157735,3.824434,run_tableB_20250811_162552/frames/trial_0017_20250811_162614
973.346076656,18,0.901308,1.675949,1.45813,0.003397,0.211987,3.237515,run_tableB_20250811_162552/frames/trial_0018_20250811_162615
974.361640305,19,1.194718,1.868639,1.632708,0.004629,0.228868,3.261419,run_tableB_20250811_162552/frames/trial_0019_20250811_162616
975.196253183,20,0.377568,1.582604,1.414951,0.00565,0.158517,3.234098,run_tableB_20250811_162552/frames/trial_0020_20250811_162617
976.182826968,21,0.40608,1.813698,1.594457,0.003947,0.211917,3.290984,run_tableB_20250811_162552/frames/trial_0021_20250811_162618
977.07652437,22,1.080493,1.522371,1.368553,0.003737,0.147737,3.484637,run_tableB_20250811_162552/frames/trial_0022_20250811_162619
978.012172774,23,1.644991,1.632928,1.458562,0.006392,0.163686,3.623527,run_tableB_20250811_162552/frames/trial_0023_20250811_162620
978.92145928,24,1.056008,1.699854,1.488327,0.002986,0.203962,3.36859,run_tableB_20250811_162552/frames/trial_0024_20250811_162621
979.80591278,25,1.510389,1.399762,1.245333,0.004318,0.146645,3.944698,run_tableB_20250811_162552/frames/trial_0025_20250811_162622
980.723921959,26,1.791315,1.659718,1.50073,0.004669,0.151734,3.93434,run_tableB_20250811_162552/frames/trial_0026_20250811_162623
981.67800362,27,0.643816,1.889629,1.644269,0.00523,0.236263,3.330469,run_tableB_20250811_162552/frames/trial_0027_20250811_162623
982.595699265,28,0.643616,1.797848,1.627819,0.003687,0.163246,3.360243,run_tableB_20250811_162552/frames/trial_0028_20250811_162624
983.609429943,29,1.156246,1.797125,1.56948,0.005711,0.218419,3.378327,run_tableB_20250811_162552/frames/trial_0029_20250811_162625
984.545983204,30,0.616455,1.771969,1.527511,0.004148,0.235711,3.663862,run_tableB_20250811_162552/frames/trial_0030_20250811_162626
985.450674347,31,1.444836,1.507634,1.363885,0.003366,0.137347,3.269645,run_tableB_20250811_162552/frames/trial_0031_20250811_162627
986.462957736,32,1.934573,1.736492,1.590288,0.004569,0.138419,3.765333,run_tableB_20250811_162552/frames/trial_0032_20250811_162628
987.381931293,33,1.218872,1.503136,1.324261,0.003316,0.172403,3.795148,run_tableB_20250811_162552/frames/trial_0033_20250811_162629
988.348486238,34,0.802423,1.758182,1.533663,0.006552,0.213941,3.434914,run_tableB_20250811_162552/frames/trial_0034_20250811_162630
989.289473333,35,1.144483,1.749948,1.507574,0.005851,0.233497,3.461835,run_tableB_20250811_162552/frames/trial_0035_20250811_162631
990.224522512,36,0.937275,1.725021,1.545605,0.005239,0.17083,3.816839,run_tableB_20250811_162552/frames/trial_0036_20250811_162632
991.234125959,37,1.785224,1.626265,1.462509,0.003987,0.156764,3.26687,run_tableB_20250811_162552/frames/trial_0037_20250811_162633
992.289857842,38,1.757662,1.770015,1.510048,0.00535,0.249357,3.86503,run_tableB_20250811_162552/frames/trial_0038_20250811_162634
993.223937348,39,1.641134,1.766698,1.599225,0.004599,0.156483,3.349895,run_tableB_20250811_162552/frames/trial_0039_20250811_162635
994.26498453,40,0.76346,1.841509,1.594677,0.005671,0.236663,3.381633,run_tableB_20250811_162552/frames/trial_0040_20250811_162636
995.26111939,41,1.144333,1.659819,1.50055,0.003797,0.150201,3.315409,run_tableB_20250811_162552/frames/trial_0041_20250811_162637
996.332671272,42,0.549249,1.64945,1.506953,0.003436,0.134963,3.227595,run_tableB_20250811_162552/frames/trial_0042_20250811_162638
997.344173659,43,0.377427,2.016357,1.720552,0.004759,0.286617,3.439903,run_tableB_20250811_162552/frames/trial_0043_20250811_162639
998.364732206,44,0.408165,1.814448,1.54808,0.004017,0.259306,3.223216,run_tableB_20250811_162552/frames/trial_0044_20250811_162640
999.356051537,45,0.708737,1.763112,1.630363,0.003016,0.127078,4.153219,run_tableB_20250811_162552/frames/trial_0045_20250811_162641
1000.336105835,46,0.873916,1.618121,1.374725,0.005981,0.233086,3.309579,run_tableB_20250811_162552/frames/trial_0046_20250811_162642
1001.286300646,47,0.967904,1.579428,1.444606,0.003898,0.127689,3.364742,run_tableB_20250811_162552/frames/trial_0047_20250811_162643
1002.220807411,48,0.533219,1.702559,1.528763,0.005561,0.164067,3.324958,run_tableB_20250811_162552/frames/trial_0048_20250811_162644
1003.200586467,49,0.718396,1.739748,1.54305,0.008396,0.182832,4.057199,run_tableB_20250811_162552/frames/trial_0049_20250811_162645
1004.172899577,50,1.779623,1.39342,1.244621,0.003497,0.142296,4.206197,run_tableB_20250811_162552/frames/trial_0050_20250811_162646
1005.189317633,51,0.185657,1.907743,1.664127,0.003677,0.233397,3.348152,run_tableB_20250811_162552/frames/trial_0051_20250811_162647
1006.096235416,52,1.033386,1.757922,1.517452,0.004328,0.232415,3.215171,run_tableB_20250811_162552/frames/trial_0052_20250811_162648
1007.004594277,53,1.054636,1.435879,1.278955,0.00516,0.147967,3.420616,run_tableB_20250811_162552/frames/trial_0053_20250811_162649
1007.956560631,54,0.753451,1.827793,1.576643,0.006893,0.239298,3.481681,run_tableB_20250811_162552/frames/trial_0054_20250811_162650
1008.857115671,55,0.885789,1.563509,1.421322,0.005801,0.132829,3.419745,run_tableB_20250811_162552/frames/trial_0055_20250811_162651
1009.731218507,56,1.077158,1.568367,1.388531,0.005149,0.17076,3.499244,run_tableB_20250811_162552/frames/trial_0056_20250811_162652
1010.717666347,57,1.14751,1.758434,1.573587,0.004719,0.175609,3.472814,run_tableB_20250811_162552/frames/trial_0057_20250811_162653
1011.729913494,58,1.774083,1.563348,1.322778,0.010349,0.225392,3.73768,run_tableB_20250811_162552/frames/trial_0058_20250811_162654
1012.655249861,59,0.381555,1.831761,1.599626,0.004559,0.223949,3.35319,run_tableB_20250811_162552/frames/trial_0059_20250811_162654
1013.551833454,60,1.88467,1.591842,1.451288,0.003537,0.134332,3.646741,run_tableB_20250811_162552/frames/trial_0060_20250811_162655
1014.462692722,61,0.87567,1.595228,1.409981,0.005611,0.176029,3.406049,run_tableB_20250811_162552/frames/trial_0061_20250811_162656
1015.428616071,62,1.726103,1.833164,1.643778,0.003367,0.182491,3.169085,run_tableB_20250811_162552/frames/trial_0062_20250811_162657
1016.393539664,63,0.917268,1.862138,1.651212,0.003356,0.205145,3.404276,run_tableB_20250811_162552/frames/trial_0063_20250811_162658
1017.49422692,64,0.538829,1.768542,1.579779,0.008195,0.174848,3.57723,run_tableB_20250811_162552/frames/trial_0064_20250811_162659
1018.45207134,65,0.764222,1.855725,1.621898,0.004528,0.226134,3.304268,run_tableB_20250811_162552/frames/trial_0065_20250811_162700
1019.507349354,66,2.118056,1.806404,1.609885,0.004649,0.186198,4.111049,run_tableB_20250811_162552/frames/trial_0066_20250811_162701
1020.44238457,67,1.171895,1.511601,1.29216,0.003827,0.212558,3.317844,run_tableB_20250811_162552/frames/trial_0067_20250811_162702
1021.531933406,68,0.620342,1.848021,1.568888,0.007634,0.262151,3.848448,run_tableB_20250811_162552/frames/trial_0068_20250811_162703
1022.50700283,69,0.684652,1.661563,1.40388,0.006883,0.246742,3.774379,run_tableB_20250811_162552/frames/trial_0069_20250811_162704
1023.553848572,70,0.687147,1.754055,1.617971,0.003706,0.129132,3.462336,run_tableB_20250811_162552/frames/trial_0070_20250811_162705
1024.532653517,71,0.349625,1.68735,1.462789,0.004248,0.217147,3.702344,run_tableB_20250811_162552/frames/trial_0071_20250811_162706
