timestamp_perf_counter,latency_ms
3141.669153406,38
3142.363826203,13
3147.083405269,9
3151.268944498,9
3152.163314016,13
3153.073308991,10
3153.954156789,11
3154.903621579,11
3155.813441905,12
3156.7433699,11
3157.593718389,16
3158.503959666,13
3159.378324796,13
3160.273491428,12
3161.188955251,9
3162.064666449,7
3162.934111422,15
3163.78392215,14
3164.623891288,14
3165.469026452,13
3166.368709715,17
3167.239384581,10
3168.19380309,13
3169.06903509,12
3169.993339849,16
3170.884738058,15
3171.798573499,14
3172.693338436,18
3173.533746527,13
3174.37412339,15
3175.173496264,16
3176.083711961,13
3176.948471587,15
3177.813382992,18
3178.683414245,15
3179.659370776,11
3180.509045391,8
3181.45862043,9
3182.44905392,9
3183.433865116,12
3184.433407691,9
3186.269023808,9
3187.263483869,12
3188.17339871,16
3189.129068882,9
3190.0938773,14
3191.048753408,12
3191.993408761,17
3192.92405789,10
3193.83947264,7
3194.748506898,10
3195.643688351,10
3196.498469183,13
3197.403569311,12
3198.238477654,12
3199.219005959,12
3200.044909614,14
3200.884064551,11
3202.979468932,11
3203.938477842,17
3204.953868638,15
3205.753642491,17
3206.573972486,13
3207.523815734,17
3208.304769735,14
3209.148895903,15
3209.978986971,16
3210.833647651,13
3211.679509987,13
3213.324798556,15
3216.858527542,13
3218.478514917,15
3219.323560711,12
3220.179066143,14
3221.093696293,13
3221.947483403,12
3222.866782879,13
3223.782156183,13
3224.68648792,13
3225.602193112,14
3235.136495928,13
3235.921700114,11
3236.742216421,11
3237.461254376,13
3239.461477622,12
3241.227574194,14
3242.226512659,16
3243.26146305,15
3244.221737236,14
3245.256434879,13
3246.221764195,13
3247.216295317,16
3248.206387053,14
3249.146816557,10
3259.261814529,16
3261.141558087,14
3262.156320317,15
3263.131489698,13
3264.061527785,15
3265.001828823,16
3265.981384672,18
3266.962365079,14
3267.831669031,12
3268.796773802,14
3270.396551027,12
3276.642342187,11
3277.556413989,19
3278.376373955,19
3279.212058491,14
3280.802379282,6
3281.646941632,14
3282.431470099,17
3283.167638043,8
3283.926686801,11
3284.822398301,8
3285.656632089,10
3286.566543309,13
3287.416411289,8
3290.356580149,13
3291.441623543,11
3292.491796633,14
3293.60243815,10
3294.656872383,12
3295.706720604,15
3296.771783642,14
3297.831796934,15
3298.861920431,12
3299.88240375,11
3300.904336787,13
3301.889246777,14
3303.939628443,15
3305.039925994,7
3306.024326497,10
3306.989713887,11
3307.970437247,12
3308.984187795,14
3309.914263336,13
3310.959325852,14
3311.899349105,12
3312.884669235,14
3313.834798148,7
3314.804653602,12
3315.774804101,10
3316.799609288,12
3317.779196772,16
3318.849516198,11
3320.754560027,15
3321.699270551,14
3322.649480819,17
3323.524699279,10
3324.454560735,15
3325.414340097,13
3326.419357968,17
3327.359632943,11
3328.3092916,15
3329.224739779,15
3330.13431067,17
3331.07460414,15
3332.059225408,17
3332.960023684,13
3333.87459008,18
3334.739483028,18
3335.659242021,17
3336.534985778,15
3337.42447432,15
3338.359734331,18
3339.214613637,15
3340.884314178,20
3341.824801058,16
3342.734600619,17
3343.619438576,17
3344.559432657,11
3345.474915902,11
3346.369366465,13
3347.304300306,13
3348.304370278,15
3349.264531688,16
3350.119453828,14
3350.99469833,9
3351.890666787,11
3352.80009261,10
3353.719481892,16
3354.624861948,15
3355.554949843,9
3356.354477518,10
3357.270638734,10
3358.145292041,13
3358.994679262,13
3359.929730083,15
3360.820110122,12
3361.744541165,11
3362.794987155,14
3363.674475238,17
3364.664584068,15
3365.554451895,19
3366.439800744,20
3367.329703521,13
3368.185358577,13
3369.099714427,13
3370.049423892,10
3370.984858709,13
