timestamp_perf_counter,latency_ms
68693.757612649,12
68694.96257308,11
68696.067609209,12
68697.159053588,10
68698.222665455,10
68699.28756287,13
68700.33254166,14
68703.822602911,7
68704.792521821,12
68705.819082508,10
68706.897606338,9
68707.882669866,11
68709.017616623,9
68710.103094144,8
68711.183079331,8
68712.207648014,9
68713.302588785,11
68714.367697497,12
68718.022627977,11
68719.059156522,7
68720.147726107,10
68721.288483306,11
68722.357719025,9
68723.419165552,7
68724.412762092,11
68725.422706102,12
68726.413818402,5
68727.399170353,10
68728.448512836,10
68729.459284633,12
68730.552752235,13
68731.622767941,13
68732.762792833,11
68733.803198296,9
68734.86776581,11
68735.987758976,14
68737.073884426,11
68738.139220425,11
68739.288548406,12
68740.412758719,13
68741.542812427,16
68742.687929843,11
68743.799237772,10
68744.897876745,13
68746.082854031,10
68747.137857026,14
68748.197946251,10
68749.273944363,10
68750.388614923,11
68751.482848335,15
68752.557973796,13
68753.642916863,13
68754.707875773,11
68755.782841575,15
68756.872919705,13
68757.927900928,15
68758.962851557,9
68759.96289203,14
68761.003341486,11
68761.983333321,9
68763.052951109,13
68764.074012288,8
68765.094025587,12
68766.107984995,14
68767.18338857,8
68768.23298483,14
68769.35295901,11
68770.487996136,16
68771.583387655,7
68772.692961073,11
68773.7793936,7
68774.872952324,12
68775.933054794,14
68777.052986004,10
68778.214080744,8
68779.279424978,7
68780.383041168,12
68781.42798382,9
68782.528044416,12
68783.642990945,15
68784.708101831,10
68785.792995846,7
68786.859448303,8
68787.948797212,11
68788.973037658,11
68790.053038013,8
68791.054159348,8
68792.093130816,13
68793.088085779,8
68794.152962314,11
68795.15812179,11
68796.248103319,11
68797.333127128,11
68798.408102277,14
68799.373085417,14
68800.414178754,10
68801.418217974,8
68802.4542203,8
68803.51954133,10
68804.683547203,10
68805.883142068,13
68807.028165046,12
