timestamp_perf_counter,latency_ms
77700.73547599,31
77701.704929183,19
77702.605234219,13
77703.574810935,10
77704.49540959,8
77705.390010162,11
77706.309789477,12
77707.200618238,7
77708.079695119,9
77708.975092579,7
77710.894884484,13
77711.940643211,14
77712.899732993,16
77713.800729889,12
77714.71513461,14
77715.609811786,13
77716.460195458,13
77717.364749711,12
77718.254699932,12
77719.220698982,11
77720.10607303,8
77721.085024008,9
77723.014714211,13
77724.07997086,15
77725.140713023,12
77727.060154861,8
77728.049876476,12
77730.595217778,15
77731.514770276,16
77732.434962307,14
77733.390401316,12
77734.340789631,16
77735.300291197,20
77736.245378226,16
77737.180319092,11
77738.079832029,12
77738.985360173,10
77739.93501585,12
77740.810432851,10
77741.775009567,12
77742.6349904,14
77743.610369493,13
77744.50541909,10
77745.440335189,14
77746.335629245,9
77747.220341619,13
77748.090547353,15
77749.006193056,13
77749.855276714,10
77750.720084941,14
77751.599873339,15
77752.630494749,10
77753.575700091,12
77754.504947364,14
77755.454897054,14
77756.325212875,14
77757.360159286,17
77758.230291912,12
77759.175108543,15
77760.055112255,20
77760.906202244,9
77761.985230412,11
77762.855157702,8
77763.674906795,14
77764.555391923,11
77765.434936292,15
77766.300199825,12
77767.110605974,11
77767.950089886,12
77768.745011447,14
77769.540452284,14
77770.335735665,16
77771.380223502,17
77772.215365502,16
77773.085547831,10
77773.950355037,11
77774.826294819,9
77775.695413139,15
77776.635460925,12
77777.600051718,16
77778.520975434,11
77779.435477929,10
77780.345076315,12
77781.185068882,13
77782.12004278,17
77782.975414899,14
77785.19068572,13
77786.335054408,12
77787.301012441,7
77788.266413507,8
77789.250467338,11
77790.180574367,13
77791.095177321,14
77791.980989913,10
77792.930811462,11
77793.821102103,13
77794.775867796,16
77795.750207335,14
77796.645637026,12
77797.570224059,15
77798.42641666,9
77799.330783581,14
77800.195563205,15
77801.110803446,10
77801.965706984,10
77803.085454328,16
77803.935570246,12
77804.830266759,15
77805.715143732,14
77806.675340686,16
77807.530755234,17
77808.415331963,12
77809.200626617,15
77810.095929499,7
77810.900204724,10
77811.755358863,9
77812.545721013,10
77813.300209927,14
77814.010289177,8
77817.140443639,11
77818.226525627,9
77819.206547709,12
77820.180451008,12
77821.105281327,12
77822.055387061,13
77822.995983568,10
77823.940478404,11
77824.855643495,12
77825.770898484,7
77826.695687386,14
77827.630626569,12
77828.550341211,16
77829.430871223,9
77830.350617616,16
77831.235664929,12
77832.190382012,13
77833.505832968,11
77834.926595434,11
77835.86558461,13
77836.686550541,11
77837.600331559,13
77838.465605001,11
77839.235639148,10
77840.010959752,8
77840.790981754,8
77843.520814883,13
77844.510459042,14
77845.450457987,13
77846.31573206,9
77847.230466861,9
77848.155771172,13
77849.110495518,16
77849.981315666,13
77850.920883771,12
77851.78059701,15
77852.686604826,11
77853.585968162,13
77854.516167504,11
77855.395813695,15
77856.325460258,15
77857.26060117,16
77858.125966565,11
77859.020643951,12
77859.830769073,11
77860.745707046,14
77861.536484316,7
77862.661399986,12
77864.590715724,11
77865.666712303,13
77866.586021154,15
77867.63588121,13
77868.750818321,11
77869.865653922,14
77870.940507181,19
77871.970836503,12
77872.965786377,14
77873.865540888,15
77874.790828186,16
77876.621460645,8
77877.576302292,11
77878.525801946,16
77879.536293084,15
77880.470975895,15
77881.475953069,15
77882.590948009,16
77883.531176685,15
77885.786785575,10
77888.630659252,19
77889.601500235,13
77890.581116494,22
77891.640583369,19
77892.650918765,14
77893.886844236,16
77894.961074114,13
77895.966886738,14
77896.970717687,11
77898.096708547,13
77899.166248218,12
