record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms
77655.240591604,1,1.881247,1.813108,1.672655,0.003566,0.133742,3.078467
77655.456634632,2,0.77139,1.785918,1.639091,0.002374,0.142168,2.891185
77655.979303469,3,0.337975,1.60126,0.996273,0.002304,0.600189,2.751753
77656.106733258,4,0.352663,1.635094,1.453723,0.002855,0.176051,2.758475
77656.389668012,5,0.892478,1.818839,1.660742,0.003186,0.151936,2.779966
77657.457916816,6,0.226035,1.640103,1.124594,0.0052,0.506552,2.808059
77657.963510735,7,0.61701,1.727357,1.440749,0.003516,0.280437,2.726164
77658.404981513,8,0.763786,1.791087,1.150764,0.003005,0.631016,2.940718
77658.83445076,9,1.247195,1.810503,1.224352,0.001863,0.581714,2.721877
77659.223449929,10,1.377009,1.825762,1.667214,0.002726,0.152957,2.789233
77659.577294041,11,1.963782,1.812948,1.644671,0.002816,0.162455,3.055083
77660.042787488,12,0.264046,1.832325,1.689235,0.002164,0.138681,2.855467
77660.256861464,13,0.673005,1.783693,1.629604,0.003687,0.147106,2.77151
77660.328331287,14,1.468851,1.808039,1.641886,0.002294,0.160833,2.892648
77660.686983077,15,1.557057,1.853204,1.705887,0.003146,0.141516,2.749609
77660.761255979,16,1.362571,1.859616,1.705736,0.003637,0.146786,2.778834
77660.981734455,17,0.42549,1.770198,1.583547,0.002234,0.182092,2.859275
77661.362615773,18,1.643851,1.815352,1.669599,0.002314,0.140845,2.911243
77661.755692858,19,1.879393,1.808259,1.663287,0.002575,0.139582,2.699114
77661.830495896,20,1.882198,1.752685,1.593736,0.003176,0.152486,5.002474
77662.252150362,21,1.712629,1.334078,1.0905,0.002074,0.238298,3.126438
77662.694978922,22,0.205937,1.782742,1.620476,0.003547,0.155312,3.044544
77663.204672929,23,0.304021,1.26577,0.911173,0.002956,0.348956,3.004799
77663.873069082,24,1.296026,1.850308,1.703523,0.003115,0.140805,2.815002
77664.360811292,25,0.703012,1.764838,1.630876,0.002785,0.128632,2.765288
77664.875835068,26,0.638049,1.806807,1.664919,0.002315,0.137278,2.713291
77665.309425803,27,0.676883,2.014226,1.473079,0.002405,0.536408,2.776028
77666.85469384,28,0.835501,1.680279,1.546016,0.002435,0.129063,2.827426
77666.968984599,29,0.089137,1.859306,1.273434,0.002845,0.57977,2.943573
77666.979666169,30,0.218661,1.589538,0.931561,0.003758,0.651634,3.82486
77666.987870342,31,1.688815,1.73422,1.566705,0.003397,0.160852,3.389572
77667.177194652,32,0.78176,1.907586,1.604987,0.006001,0.29253,2.734601
77667.193448788,33,1.245682,1.737526,1.540516,0.002955,0.190609,3.364114
77667.219371809,34,0.547449,1.877039,1.709173,0.002274,0.162896,3.374634
77667.237887105,35,1.50524,2.188644,1.720454,0.003357,0.461517,5.256482
77667.623640172,36,0.579559,2.03721,1.582424,0.005911,0.443835,2.78761
77667.633311633,37,0.553751,1.784865,1.603965,0.002435,0.176071,3.251011
77667.81771913,38,1.563449,1.918376,1.726305,0.002274,0.187533,3.467849
77669.252573798,39,1.736194,2.441409,1.761802,0.005501,0.670169,2.802518
77669.262127427,40,0.082264,1.890554,1.731896,0.003386,0.152296,3.099477
77669.271816221,41,1.879072,1.824901,1.682352,0.002305,0.137839,3.459864
77669.338164084,42,1.767974,1.892618,1.695547,0.003347,0.190488,3.002003
77669.389989939,43,1.688965,1.823659,1.195537,0.002315,0.623672,3.068177
77669.396691828,44,0.783923,1.461578,1.045565,0.00519,0.405863,3.162875
77669.440568419,45,1.347924,1.891195,1.717188,0.003376,0.166453,2.87271
77669.529119632,46,0.440878,1.814772,1.673286,0.002525,0.136486,2.706708
77669.541559707,47,1.076785,1.802458,1.620005,0.002515,0.176682,3.019466
77669.547744774,48,1.698282,1.795656,1.624373,0.002936,0.16492,2.893369
77669.55468481,49,0.749499,1.825441,1.667445,0.003647,0.151104,3.121598
77669.569547129,50,0.372259,1.234,0.94115,0.005159,0.280858,2.983298
77669.576283953,51,1.034665,1.69694,1.521941,0.003937,0.167215,3.42581
77669.586173845,52,0.114586,1.849296,1.681121,0.012673,0.152247,2.81958
77669.599899727,53,2.203232,1.754137,1.603354,0.002605,0.145513,2.998076
77669.60757731,54,1.372149,1.871228,1.215014,0.00566,0.647267,3.331022
77669.61732263,55,1.984761,1.848014,1.711778,0.003016,0.130074,3.486003
77669.623897209,56,1.637789,1.870516,1.705786,0.004118,0.157206,2.767713
77669.637204485,57,1.518014,1.757854,1.590841,0.003677,0.160151,2.805493
77669.644068448,58,1.465775,1.77116,1.150523,0.004077,0.613524,3.580561
77669.653647776,59,0.720484,1.80872,1.58542,0.004799,0.215335,2.86694
77669.664050601,60,1.044784,1.799433,1.15995,0.00485,0.629122,2.943453
77669.675148353,61,0.481746,1.836572,1.686019,0.003416,0.143841,3.68634
77669.689607885,62,1.874704,1.870045,1.61691,0.003616,0.245923,3.245641
77669.706174157,63,1.443534,1.993347,1.432953,0.002475,0.552228,2.830782
77669.717007232,64,0.94671,1.825391,1.639282,0.003747,0.178906,3.055194
77669.727944893,65,1.869685,1.737667,1.549523,0.003817,0.181221,3.519577
77669.734170516,66,0.956288,1.966386,1.660922,0.006032,0.295826,2.919218
77669.763426803,67,0.560894,1.7925,1.007313,0.004589,0.777431,3.400061
