record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms,frames_folder
3141.641299426,1,1.346699,1.69327,1.491562,0.004408,0.194415,3.579573,run_tableB_20250811_132829/frames/trial_0001_20250811_132839
3142.356329204,2,0.973598,1.61321,1.436297,0.004649,0.169258,3.936974,run_tableB_20250811_132829/frames/trial_0002_20250811_132840
3144.952471537,3,0.863362,1.420477,1.286206,0.002995,0.12792,3.484344,run_tableB_20250811_132829/frames/trial_0003_20250811_132842
3147.073383277,4,0.118122,1.794179,1.575038,0.003026,0.212459,3.375029,run_tableB_20250811_132829/frames/trial_0004_20250811_132844
3151.261531235,5,0.157946,1.57045,1.358441,0.003336,0.204725,3.501656,run_tableB_20250811_132829/frames/trial_0005_20250811_132849
3152.153637092,6,1.407664,1.688992,1.534081,0.00543,0.145914,3.378746,run_tableB_20250811_132829/frames/trial_0006_20250811_132850
3153.062854987,7,0.465334,1.79434,1.562635,0.003928,0.224611,3.398122,run_tableB_20250811_132829/frames/trial_0007_20250811_132850
3153.947310421,8,1.682389,1.612999,1.461956,0.004528,0.143089,3.365872,run_tableB_20250811_132829/frames/trial_0008_20250811_132851
3154.894728457,9,0.76143,1.828635,1.670778,0.005049,0.149591,3.369648,run_tableB_20250811_132829/frames/trial_0009_20250811_132852
3155.80351421,10,0.217118,1.674825,1.463939,0.003006,0.205425,4.497206,run_tableB_20250811_132829/frames/trial_0010_20250811_132853
3156.733756023,11,0.666151,1.699973,1.457808,0.00531,0.232446,3.171105,run_tableB_20250811_132829/frames/trial_0011_20250811_132854
3157.585784519,12,1.491922,1.550562,1.417933,0.002955,0.126418,3.534067,run_tableB_20250811_132829/frames/trial_0012_20250811_132855
3158.495560472,13,0.759978,1.981351,1.70384,0.003276,0.269366,3.80211,run_tableB_20250811_132829/frames/trial_0013_20250811_132856
3159.36826859,14,2.022909,1.601387,1.440495,0.004649,0.152737,3.392441,run_tableB_20250811_132829/frames/trial_0014_20250811_132857
3160.264173276,15,1.178353,1.496039,1.313627,0.004208,0.174608,3.438748,run_tableB_20250811_132829/frames/trial_0015_20250811_132858
3161.181094979,16,0.136686,2.027268,1.692999,0.003417,0.327475,3.422608,run_tableB_20250811_132829/frames/trial_0016_20250811_132859
3162.05817087,17,1.529823,1.782027,1.560351,0.003266,0.215705,3.497749,run_tableB_20250811_132829/frames/trial_0017_20250811_132859
3162.926136693,18,0.407355,1.795773,1.577963,0.004469,0.210505,4.464955,run_tableB_20250811_132829/frames/trial_0018_20250811_132900
3163.777049984,19,1.114162,1.838102,1.558156,0.006091,0.267503,3.569243,run_tableB_20250811_132829/frames/trial_0019_20250811_132901
3164.616434564,20,0.716225,1.856377,1.600276,0.006562,0.242856,3.879215,run_tableB_20250811_132829/frames/trial_0020_20250811_132902
3165.460644039,21,2.099383,1.527339,1.344866,0.004699,0.174949,3.468264,run_tableB_20250811_132829/frames/trial_0021_20250811_132903
3166.360398106,22,0.358713,1.360205,1.186708,0.004519,0.165801,4.461469,run_tableB_20250811_132829/frames/trial_0022_20250811_132904
3167.232869264,23,1.917752,1.845917,1.621896,0.003987,0.216487,3.416717,run_tableB_20250811_132829/frames/trial_0023_20250811_132905
3168.185248614,24,0.359585,1.869942,1.631624,0.004729,0.229621,3.331888,run_tableB_20250811_132829/frames/trial_0024_20250811_132906
3169.062035905,25,1.588293,1.593773,1.450324,0.004248,0.135875,3.27459,run_tableB_20250811_132829/frames/trial_0025_20250811_132906
3169.982581393,26,0.757523,1.450083,1.318757,0.003216,0.124804,3.171086,run_tableB_20250811_132829/frames/trial_0026_20250811_132907
3170.877172718,27,1.982764,1.761738,1.588003,0.003717,0.165991,3.496948,run_tableB_20250811_132829/frames/trial_0027_20250811_132908
3171.789416331,28,2.030043,1.664206,1.516889,0.00522,0.138159,3.680372,run_tableB_20250811_132829/frames/trial_0028_20250811_132909
3172.68346886,29,1.507371,1.75716,1.519644,0.00511,0.22898,3.393974,run_tableB_20250811_132829/frames/trial_0029_20250811_132910
3173.526343452,30,0.187171,1.829857,1.526737,0.003757,0.296006,4.163299,run_tableB_20250811_132829/frames/trial_0030_20250811_132911
3174.366088469,31,1.408375,1.483015,1.259545,0.003687,0.216517,3.28527,run_tableB_20250811_132829/frames/trial_0031_20250811_132912
3175.164407986,32,1.342191,1.952728,1.676048,0.00506,0.268374,4.02976,run_tableB_20250811_132829/frames/trial_0032_20250811_132913
3176.075139912,33,0.62788,1.84776,1.624041,0.003436,0.217409,3.584472,run_tableB_20250811_132829/frames/trial_0033_20250811_132913
3176.939363812,34,1.989377,1.788549,1.593853,0.004809,0.187302,4.10991,run_tableB_20250811_132829/frames/trial_0034_20250811_132914
3177.803055586,35,0.967667,1.709942,1.503063,0.005981,0.197451,4.315246,run_tableB_20250811_132829/frames/trial_0035_20250811_132915
3178.674218755,36,1.227506,1.60818,1.394519,0.002936,0.208121,3.427668,run_tableB_20250811_132829/frames/trial_0036_20250811_132916
3179.652483039,37,0.950215,1.593192,1.433512,0.002725,0.153939,3.245936,run_tableB_20250811_132829/frames/trial_0037_20250811_132917
3180.50214503,38,0.835129,1.745217,1.41633,0.007564,0.316795,3.654834,run_tableB_20250811_132829/frames/trial_0038_20250811_132918
3181.449518655,39,0.445908,1.710463,1.490029,0.002955,0.214473,3.380389,run_tableB_20250811_132829/frames/trial_0039_20250811_132919
3182.441091044,40,1.024173,1.63483,1.431728,0.004689,0.194926,4.047622,run_tableB_20250811_132829/frames/trial_0040_20250811_132920
3183.426304445,41,1.788599,1.789181,1.548639,0.006202,0.229351,5.957078,run_tableB_20250811_132829/frames/trial_0041_20250811_132921
3184.422476241,42,1.925716,1.754786,1.526046,0.005019,0.220845,4.16332,run_tableB_20250811_132829/frames/trial_0042_20250811_132922
3185.340808542,43,1.210213,1.538951,1.39465,0.003997,0.136597,3.675883,run_tableB_20250811_132829/frames/trial_0043_20250811_132923
3186.261084246,44,1.693871,1.738805,1.539862,0.006251,0.189346,3.788386,run_tableB_20250811_132829/frames/trial_0044_20250811_132924
3187.253636794,45,1.068177,2.203268,1.846669,0.007705,0.342403,4.331174,run_tableB_20250811_132829/frames/trial_0045_20250811_132925
3188.162635736,46,1.435816,1.664607,1.480371,0.004428,0.176391,3.357988,run_tableB_20250811_132829/frames/trial_0046_20250811_132926
3189.122003351,47,1.225872,1.61324,1.459231,0.003837,0.147387,3.26393,run_tableB_20250811_132829/frames/trial_0047_20250811_132927
3190.085527968,48,0.14942,1.930937,1.497332,0.003095,0.428054,3.964666,run_tableB_20250811_132829/frames/trial_0048_20250811_132927
3191.040045112,49,1.585428,1.719479,1.556623,0.00511,0.153869,3.450151,run_tableB_20250811_132829/frames/trial_0049_20250811_132928
3191.982480245,50,1.318697,1.766618,1.503174,0.009227,0.249629,3.465428,run_tableB_20250811_132829/frames/trial_0050_20250811_132929
3192.916373438,51,1.70377,1.849283,1.516618,0.004238,0.321924,3.898132,run_tableB_20250811_132829/frames/trial_0051_20250811_132930
3193.832422438,52,0.843915,1.619602,1.462356,0.004188,0.149782,3.32277,run_tableB_20250811_132829/frames/trial_0052_20250811_132931
3194.739082217,53,0.872038,1.7734,1.523441,0.006051,0.237226,3.511086,run_tableB_20250811_132829/frames/trial_0053_20250811_132932
3195.634256576,54,0.91083,1.673944,1.450314,0.0055,0.213311,3.806641,run_tableB_20250811_132829/frames/trial_0054_20250811_132933
3196.488171843,55,0.324229,1.860285,1.645591,0.00541,0.205416,3.460128,run_tableB_20250811_132829/frames/trial_0055_20250811_132934
3197.394122798,56,0.260179,1.829035,1.597961,0.004719,0.222588,3.35374,run_tableB_20250811_132829/frames/trial_0056_20250811_132935
3198.228377724,57,0.74539,1.743054,1.498995,0.007344,0.231715,3.256988,run_tableB_20250811_132829/frames/trial_0057_20250811_132936
3199.210376721,58,1.27808,2.018631,1.66702,0.009057,0.33545,3.802383,run_tableB_20250811_132829/frames/trial_0058_20250811_132937
3200.038691184,59,0.199505,1.859662,1.616737,0.003135,0.236224,3.542694,run_tableB_20250811_132829/frames/trial_0059_20250811_132937
3200.875780772,60,1.353882,2.151662,1.645501,0.004548,0.496783,3.477732,run_tableB_20250811_132829/frames/trial_0060_20250811_132938
3202.972225416,61,1.004105,1.734959,1.460002,0.004118,0.267101,3.659163,run_tableB_20250811_132829/frames/trial_0061_20250811_132940
3203.927872173,62,1.258454,1.668444,1.484949,0.004128,0.176682,3.331307,run_tableB_20250811_132829/frames/trial_0062_20250811_132941
3204.945669387,63,1.440516,1.45348,1.307986,0.004048,0.137989,3.863016,run_tableB_20250811_132829/frames/trial_0063_20250811_132942
3205.744540645,64,0.354826,1.634149,1.375633,0.005511,0.249749,6.226596,run_tableB_20250811_132829/frames/trial_0064_20250811_132943
3206.565225547,65,1.492954,1.75146,1.573836,0.006632,0.166182,3.531643,run_tableB_20250811_132829/frames/trial_0065_20250811_132944
3207.514367217,66,1.31486,2.556271,1.528049,0.009308,0.99063,3.756026,run_tableB_20250811_132829/frames/trial_0066_20250811_132945
3208.29758501,67,1.487093,1.802105,1.571121,0.003917,0.222237,3.421006,run_tableB_20250811_132829/frames/trial_0067_20250811_132946
3209.140483452,68,1.853582,1.709841,1.514715,0.00537,0.18613,4.579361,run_tableB_20250811_132829/frames/trial_0068_20250811_132947
3209.970418618,69,0.824178,1.770014,1.57091,0.006713,0.187652,3.679332,run_tableB_20250811_132829/frames/trial_0069_20250811_132947
3210.824840609,70,0.690667,1.846919,1.595527,0.005159,0.241434,3.463335,run_tableB_20250811_132829/frames/trial_0070_20250811_132948
3211.672963931,71,1.175789,1.744637,1.600968,0.003847,0.136566,3.974915,run_tableB_20250811_132829/frames/trial_0071_20250811_132949
3212.509409834,72,0.490661,1.874502,1.572885,0.004298,0.289273,3.429772,run_tableB_20250811_132829/frames/trial_0072_20250811_132950
3213.317924825,73,1.773071,1.812133,1.575428,0.00506,0.227677,3.679913,run_tableB_20250811_132829/frames/trial_0073_20250811_132951
3214.102639575,74,0.48428,1.891223,1.677631,0.003146,0.207891,3.613176,run_tableB_20250811_132829/frames/trial_0074_20250811_132952
3216.017198487,75,1.259556,1.668534,1.531487,0.003636,0.130455,3.779368,run_tableB_20250811_132829/frames/trial_0075_20250811_132953
3216.848792237,76,1.279463,1.908154,1.690556,0.003035,0.212129,3.417399,run_tableB_20250811_132829/frames/trial_0076_20250811_132954
3217.667810639,77,1.691958,1.532879,1.3736,0.00577,0.150132,3.575857,run_tableB_20250811_132829/frames/trial_0077_20250811_132955
3218.468231471,78,1.141885,1.57072,1.427401,0.004459,0.135454,3.223064,run_tableB_20250811_132829/frames/trial_0078_20250811_132956
3219.313793124,79,1.249407,1.611598,1.471715,0.003717,0.132959,3.42918,run_tableB_20250811_132829/frames/trial_0079_20250811_132957
3220.17117987,80,0.957268,1.419988,1.245039,0.003046,0.166102,4.396077,run_tableB_20250811_132829/frames/trial_0080_20250811_132958
3221.084837824,81,0.970513,1.786896,1.472184,0.005601,0.300565,3.845904,run_tableB_20250811_132829/frames/trial_0081_20250811_132958
3221.940199973,82,0.258074,2.015958,1.754947,0.00567,0.250481,3.371663,run_tableB_20250811_132829/frames/trial_0082_20250811_132959
3222.858713261,83,0.3358,1.806022,1.539101,0.005671,0.25548,3.997058,run_tableB_20250811_132829/frames/trial_0083_20250811_133000
3223.774405385,84,1.84706,1.688943,1.55951,0.002985,0.123452,4.516463,run_tableB_20250811_132829/frames/trial_0084_20250811_133001
3224.677866997,85,1.822794,1.787598,1.586841,0.003697,0.193844,3.532415,run_tableB_20250811_132829/frames/trial_0085_20250811_133002
3225.595241184,86,1.785975,1.668694,1.520255,0.003337,0.142527,3.352267,run_tableB_20250811_132829/frames/trial_0086_20250811_133003
3226.342099298,87,0.386366,1.988775,1.696867,0.006011,0.278684,3.461622,run_tableB_20250811_132829/frames/trial_0087_20250811_133004
3227.133413278,88,1.692449,1.758804,1.572293,0.003948,0.178866,3.681835,run_tableB_20250811_132829/frames/trial_0088_20250811_133005
3229.484126296,89,0.949303,1.808808,1.341399,0.005861,0.458371,4.23281,run_tableB_20250811_132829/frames/trial_0089_20250811_133007
3230.214723848,90,0.169358,1.670828,1.51768,0.006172,0.143229,3.320006,run_tableB_20250811_132829/frames/trial_0090_20250811_133008
3231.506396474,91,1.324878,1.476273,1.171501,0.008125,0.291668,3.685292,run_tableB_20250811_132829/frames/trial_0091_20250811_133009
3233.597728246,92,0.316805,1.918273,1.674324,0.009188,0.22924,4.902909,run_tableB_20250811_132829/frames/trial_0092_20250811_133011
3234.357837791,93,0.837513,1.862669,1.677541,0.007664,0.170481,3.430473,run_tableB_20250811_132829/frames/trial_0093_20250811_133012
3235.127903439,94,1.046426,2.010447,1.539042,0.008105,0.457249,4.146458,run_tableB_20250811_132829/frames/trial_0094_20250811_133013
3235.914268194,95,0.709022,1.771317,1.615995,0.004449,0.147036,3.262598,run_tableB_20250811_132829/frames/trial_0095_20250811_133013
3236.734959279,96,0.606109,1.734017,1.55443,0.00525,0.17055,3.566579,run_tableB_20250811_132829/frames/trial_0096_20250811_133014
3237.451175515,97,0.578005,1.839756,1.537969,0.011802,0.28233,4.07764,run_tableB_20250811_132829/frames/trial_0097_20250811_133015
3238.754444993,98,0.935477,1.841399,1.588314,0.004528,0.245061,3.995094,run_tableB_20250811_132829/frames/trial_0098_20250811_133016
3239.452128531,99,0.499388,2.071851,1.740719,0.004819,0.322947,3.589392,run_tableB_20250811_132829/frames/trial_0099_20250811_133017
3240.199120942,100,1.821882,1.255739,1.043701,0.006181,0.201088,5.385045,run_tableB_20250811_132829/frames/trial_0100_20250811_133018
3241.220880109,101,0.682702,1.886384,1.661441,0.003266,0.218891,3.744543,run_tableB_20250811_132829/frames/trial_0101_20250811_133019
3242.217097613,102,0.229,2.18785,1.807495,0.007063,0.368402,4.179642,run_tableB_20250811_132829/frames/trial_0102_20250811_133020
3243.252571409,103,0.842463,1.711525,1.562445,0.003226,0.142047,3.370471,run_tableB_20250811_132829/frames/trial_0103_20250811_133021
3244.214756753,104,1.468078,1.547537,1.379571,0.004318,0.15955,3.367695,run_tableB_20250811_132829/frames/trial_0104_20250811_133022
3245.246659166,105,0.769566,1.644889,1.441667,0.00513,0.192892,3.574595,run_tableB_20250811_132829/frames/trial_0105_20250811_133023
3246.212800138,106,1.337743,1.692429,1.413565,0.00547,0.269166,3.655767,run_tableB_20250811_132829/frames/trial_0106_20250811_133024
3247.205181491,107,1.23511,1.508083,1.198551,0.006402,0.298491,3.942966,run_tableB_20250811_132829/frames/trial_0107_20250811_133025
3248.196057941,108,0.54848,1.769033,1.519104,0.004278,0.241023,3.514823,run_tableB_20250811_132829/frames/trial_0108_20250811_133026
3249.139166426,109,1.443331,1.57029,1.424245,0.003627,0.139592,3.387493,run_tableB_20250811_132829/frames/trial_0109_20250811_133027
3250.049459685,110,1.75689,1.595979,1.444163,0.004128,0.144301,3.23101,run_tableB_20250811_132829/frames/trial_0110_20250811_133027
3250.970372434,111,0.833826,1.60759,1.480081,0.002084,0.123351,3.511356,run_tableB_20250811_132829/frames/trial_0111_20250811_133028
3252.263222225,112,1.436218,1.627437,1.206326,0.005511,0.410751,3.770413,run_tableB_20250811_132829/frames/trial_0112_20250811_133030
3254.009369082,113,0.366558,1.573236,1.369423,0.006973,0.191009,3.442054,run_tableB_20250811_132829/frames/trial_0113_20250811_133031
3255.035248944,114,1.603753,1.751279,1.548729,0.006933,0.189015,3.466441,run_tableB_20250811_132829/frames/trial_0114_20250811_133032
