record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms,frames_folder,timestamp_perf_counter,latency_ms,match_dt_ms
77701.695858833,2,0.150994,1.852402,1.70214,0.003987,0.14323,2.752885,run_tableB_20250812_173628/frames/trial_0002_20250812_173639,77701.704929183,19.0,9.070350002730263
77702.597221487,3,0.717629,1.817296,1.63321,0.003297,0.177824,2.972517,run_tableB_20250812_173628/frames/trial_0003_20250812_173640,77702.605234219,13.0,8.01273199613206
77703.565055506,4,1.449685,1.774686,1.635585,0.002625,0.133892,2.801897,run_tableB_20250812_173628/frames/trial_0004_20250812_173641,77703.574810935,10.0,9.755428996868432
77704.488132891,5,0.860487,1.827716,1.667104,0.003246,0.15431,2.908748,run_tableB_20250812_173628/frames/trial_0005_20250812_173642,77704.49540959,8.0,7.276699005160481
77705.382384417,6,0.523484,1.737086,1.552889,0.002826,0.178085,2.761752,run_tableB_20250812_173628/frames/trial_0006_20250812_173642,77705.390010162,11.0,7.625744998222217
77706.300651849,7,0.480753,2.026971,1.440488,0.003075,0.580502,2.948553,run_tableB_20250812_173628/frames/trial_0007_20250812_173643,77706.309789477,12.0,9.13762800337281
77707.193434674,8,0.589297,1.307288,1.017292,0.002675,0.284415,3.000371,run_tableB_20250812_173628/frames/trial_0008_20250812_173644,77707.200618238,7.0,7.183563997386955
77708.06908871,9,0.765569,1.818389,1.675089,0.003346,0.137028,2.838696,run_tableB_20250812_173628/frames/trial_0009_20250812_173645,77708.079695119,9.0,10.606408992316574
77708.967084515,10,0.276219,1.73418,1.589889,0.003647,0.137769,2.700967,run_tableB_20250812_173628/frames/trial_0010_20250812_173646,77708.975092579,7.0,8.008064003661275
77710.88542961,12,1.033243,1.782971,1.648469,0.002294,0.129704,2.837384,run_tableB_20250812_173628/frames/trial_0012_20250812_173648,77710.894884484,13.0,9.454874001676217
77711.933996957,13,1.901785,1.902647,1.682323,0.00565,0.208061,2.889952,run_tableB_20250812_173628/frames/trial_0013_20250812_173649,77711.940643211,14.0,6.646253998042084
77712.889325618,14,1.071294,1.785977,1.641336,0.003356,0.13826,3.339358,run_tableB_20250812_173628/frames/trial_0014_20250812_173650,77712.899732993,16.0,10.407374997157604
77713.793236813,15,0.725704,1.738318,1.065614,0.002715,0.666974,2.700146,run_tableB_20250812_173628/frames/trial_0015_20250812_173651,77713.800729889,12.0,7.493076001992449
77714.706776378,16,0.704284,1.677073,1.483599,0.004058,0.18604,2.827475,run_tableB_20250812_173628/frames/trial_0016_20250812_173652,77714.71513461,14.0,8.358231993042864
77715.600176944,17,1.310433,1.780677,1.63316,0.002906,0.140654,2.765559,run_tableB_20250812_173628/frames/trial_0017_20250812_173653,77715.609811786,13.0,9.63484199019149
