record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms
13918.853238753,1,2.037997,0.805068,0.654977,0.004949,0.141956,9.138257
13919.15776355,2,1.741653,1.566334,1.373513,0.003827,0.186259,8.784295
13919.437649363,3,1.87931,1.470895,1.333527,0.004308,0.129493,10.034607
13919.680103391,4,0.525805,1.823626,1.565313,0.003286,0.252152,9.599291
13919.906421244,5,0.385212,1.977204,1.696578,0.006011,0.268283,8.826825
13920.133425331,6,2.090355,1.596531,1.36135,0.002605,0.229651,9.140462
13920.359590026,7,0.519282,1.911712,1.617871,0.005119,0.280496,9.6948
13920.587259138,8,1.397658,1.700154,1.468381,0.005851,0.222136,9.406149
13920.800145321,9,0.131847,1.822174,1.683564,0.003948,0.131406,8.235285
13921.020391109,10,2.104002,1.496804,1.362232,0.003867,0.127409,8.966225
13921.221926669,11,0.815457,1.781827,1.571714,0.003206,0.203992,9.519562
13921.415362598,12,0.609341,1.598915,1.372131,0.003887,0.219511,8.507466
13925.824424945,13,0.952825,1.65,1.351491,0.003487,0.291806,7.866605
13926.177610773,14,0.667871,1.765446,1.558118,0.002856,0.201387,8.49328
13926.477036088,15,0.122539,1.953329,1.729219,0.003347,0.218188,8.886426
13926.785302243,16,0.915045,1.90615,1.705535,0.002204,0.196268,9.197158
13927.068675982,17,1.715262,1.513906,1.399321,0.002965,0.109686,9.435035
13927.366731561,18,0.932666,1.754717,1.541888,0.002965,0.207369,8.659501
13927.653071044,19,1.720092,1.598133,1.385876,0.002504,0.206988,8.044229
13927.943629269,20,1.651544,1.749597,1.543772,0.002474,0.201217,8.60564
13928.225023429,21,0.82215,1.748866,1.474171,0.007645,0.260057,8.41878
13928.525484353,22,1.828766,1.682631,1.418346,0.013545,0.242595,8.24269
13928.812421405,23,1.71885,1.64999,1.524655,0.003226,0.119434,9.339053
13929.088095751,24,1.350831,1.761659,1.559451,0.002023,0.198131,8.666063
13929.369546407,25,1.005874,1.692501,1.560012,0.002735,0.127329,8.156267
13929.633230792,26,0.358301,1.925627,1.586613,0.011251,0.319158,8.847573
13929.92227393,27,1.430749,1.85232,1.609134,0.003767,0.235662,8.89951
13930.188645861,28,1.508355,1.581081,1.364797,0.002234,0.211657,8.13611
13930.46801672,29,1.838753,1.637698,1.520057,0.002224,0.113172,8.664691
13930.728642337,30,1.08398,1.543933,1.427214,0.001593,0.108884,8.707581
13930.980789301,31,1.544704,1.527862,1.406635,0.002254,0.116619,8.577818
13931.273192933,32,1.899958,1.730582,1.602823,0.002925,0.122289,8.690489
13931.569278843,33,0.791733,1.837942,1.593575,0.002385,0.237815,8.127324
13931.856856796,34,1.634662,1.810551,1.598073,0.002465,0.207659,8.692523
13932.14462731,35,1.465465,1.386076,1.266954,0.002324,0.114645,8.660783
13932.409927643,36,1.072249,1.61799,1.414149,0.002113,0.199163,9.0382
13932.701818675,37,0.455453,1.959982,1.712267,0.003266,0.241393,7.6451
13932.980387312,38,1.472448,1.702069,1.485633,0.002805,0.209863,8.611099
13933.244627379,39,0.595626,1.795013,1.573598,0.002174,0.214351,8.503338
13933.527892855,40,1.342726,1.664428,1.454535,0.003156,0.203942,8.658299
13933.805727907,41,0.131286,2.049438,1.813797,0.005441,0.225241,9.014596
