record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms,frames_folder,timestamp_perf_counter,latency_ms,match_dt_ms
2869.377743547,1,0.367409,1.463597,1.321399,0.003276,0.136757,3.919235,run_tableB_20250811_132402/frames/trial_0001_20250811_132407,,,
2870.387470544,2,0.795924,1.68349,1.474618,0.002595,0.203953,4.011178,run_tableB_20250811_132402/frames/trial_0002_20250811_132408,2870.394890348,8.0,7.419804000164731
2871.531051094,3,0.409399,1.747529,1.50784,0.003647,0.232937,3.199183,run_tableB_20250811_132402/frames/trial_0003_20250811_132409,2871.539734351,13.0,8.683257000029698
2872.561501146,4,0.127108,1.825827,1.608148,0.003567,0.211547,3.585829,run_tableB_20250811_132402/frames/trial_0004_20250811_132410,2872.569606378,11.0,8.105232000161777
2873.468687568,5,1.154476,1.597919,1.408584,0.003086,0.183714,3.456797,run_tableB_20250811_132402/frames/trial_0005_20250811_132411,2873.4793459,12.0,10.65833200027555
2874.396218736,6,1.50268,1.397192,1.258792,0.002595,0.13314,3.50634,run_tableB_20250811_132402/frames/trial_0006_20250811_132412,2874.40473008,12.0,8.511343999998644
2875.365242279,7,1.455091,1.458488,1.281145,0.003386,0.171141,3.297148,run_tableB_20250811_132402/frames/trial_0007_20250811_132413,2875.374639234,17.0,9.396954999829177
2876.320025081,8,2.010183,1.383105,1.240068,0.004037,0.135004,3.595267,run_tableB_20250811_132402/frames/trial_0008_20250811_132414,2876.329376821,14.0,9.351740000056452
2877.261317031,9,1.890147,1.404566,1.179594,0.004378,0.215374,4.085216,run_tableB_20250811_132402/frames/trial_0009_20250811_132415,2877.26958102,15.0,8.263988999715366
2878.137095055,10,0.982945,1.658553,1.534039,0.002544,0.119264,3.407395,run_tableB_20250811_132402/frames/trial_0010_20250811_132416,2878.144767035,9.0,7.671979999940959
2879.053978229,11,2.05671,1.74792,1.591967,0.004439,0.147947,3.331472,run_tableB_20250811_132402/frames/trial_0011_20250811_132416,2879.064271286,15.0,10.293056999671535
2879.903627809,12,0.380114,1.885728,1.595574,0.006222,0.278683,3.546426,run_tableB_20250811_132402/frames/trial_0012_20250811_132417,2879.910517368,11.0,6.889558999773726
2880.832956059,13,1.004065,1.565898,1.391031,0.003516,0.168556,3.24503,run_tableB_20250811_132402/frames/trial_0013_20250811_132418,2880.840071732,10.0,7.115673000043898
2881.675767155,14,1.756727,1.467454,1.328994,0.002484,0.132729,3.888619,run_tableB_20250811_132402/frames/trial_0014_20250811_132419,2881.684511535,15.0,8.744380000280216
2882.769514435,15,0.679075,1.981669,1.730068,0.004538,0.242816,3.403397,run_tableB_20250811_132402/frames/trial_0015_20250811_132420,,,
2883.717497682,16,0.445766,1.877364,1.653352,0.004689,0.215405,3.390143,run_tableB_20250811_132402/frames/trial_0016_20250811_132421,,,
2884.736819339,17,0.473589,1.808004,1.588371,0.003477,0.21333,3.902514,run_tableB_20250811_132402/frames/trial_0017_20250811_132422,2884.744777905,12.0,7.958566000070277
2885.669025938,18,1.857606,1.548246,1.325829,0.003256,0.216035,3.608192,run_tableB_20250811_132402/frames/trial_0018_20250811_132423,2885.679277679,16.0,10.251741000047332
2886.608330044,19,1.123228,1.638054,1.469287,0.004419,0.159699,3.134853,run_tableB_20250811_132402/frames/trial_0019_20250811_132424,2886.619285835,16.0,10.95579100001487
2887.461746935,20,0.752371,1.689251,1.487783,0.005089,0.193393,3.85245,run_tableB_20250811_132402/frames/trial_0020_20250811_132425,2887.469840255,15.0,8.093319999716186
